affiliation	lon	lat	city
Doshisha University, Kyoto, JAPAN	135.77068	35.00497	Kyoto
Stellenbosch University, Stellenbosch, South Africa	18.85451	-33.95542	Stellenbosch
Sasol Group Technology R & T, Sasolburg, South Africa	27.82724	-26.79952	Sasolburg
University of Western Australia, Perth, Australia	150.30603	-35.61304	Australia
Tunghai University, Taichung, Taiwan	120.64854	24.1224	Taichung
Columbia University, New York, USA	-73.97192	40.77137	New York
Medical University of Graz, Graz, Austria	15.43613	47.07245	Graz
Chiba Keizai University, Chiba, Japan	140.1893	35.35946	Japan
West Virginia University, Morgantown, USA	-79.95951	39.6473	MORGANTOWN
Rc2ai, Morgantown, USA	-79.93947	39.63258	Morgantown
The University of Tokyo, Tokyo, Japan	139.29477	34.22558	Japan
Kyusyu Univeristy Hospital, Fukuoka city, Japan	130.41078	33.58881	Fukuoka
Novartis Pharma K.K., Tokyo, Japan	139.29477	34.22558	Japan
Kyoto University, Kyoto, Japan	135.77068	35.00497	Kyoto
the University of Tokyo, Tokyo, Japan	139.29477	34.22558	Japan
Hiroshima Institute of Technology, Hiroshima, Japan	132.77518	34.55603	Japan
Federal University of Bahia, Salvador, Brazil	-38.50442	-12.965	Salvador
National University of Singapore, Singapore, Singapore	103.84904	1.31946	Singapore
Technische Universitaet Berlin, Berlin, Germany	13.39737	52.50688	Germany
University of Illinois at Urbana-Champaign, Illinois, USA	-88.2073	40.10925	URBANA
University of Wisconsin-Madison, Wisconsin, USA	-89.38984	43.079	MADISON
University of Hong Kong, Hong Kong, China	113.54384	22.12846	China
Institute of Statistical Science, Academia Sinica, Taiwan	121.60407	25.09817	Taiwan
Dept. of Statistics, National Cheng-Kung University, Taiwan	121.60407	25.09817	Taiwan
Department of Laboratory Medicine, China Medical University and CMU Hospital, Taiwan	121.60407	25.09817	Taiwan
National Chung-Hsing University, Taichung, Taiwan	120.67257	24.14446	Taichung
National Research Institute of Police Science, Kashiwa, Japan	140.05093	35.88521	Kashiwa
